00:00:00.000 : MAIN        : INFO         : load the input data
00:00:00.018 : MAIN        : INFO         : load the solver
00:00:00.168 : MAIN        : INFO         : run the solver
00:00:00.168 : SOLVER      : INFO         : check the input data
00:00:00.168 : SOLVER      : INFO         : combine the input data
00:00:00.169 : SOLVER      : INFO         : init : enter : timing
00:00:00.169 : SOLVER      : INFO         :     voxel_geometry : enter : timing
00:00:00.172 : SOLVER      : INFO         :     voxel_geometry : exit : 00:00:00.002
00:00:00.172 : SOLVER      : INFO         :     system_tensor : enter : timing
00:00:00.173 : GREEN       : DEBUG        :         analytical solution: 6D / 1
00:00:00.173 : GREEN       : DEBUG        :         analytical solution: 6D / 175
00:00:00.182 : GREEN       : DEBUG        :         analytical solution: 5D / 175
00:00:00.188 : GREEN       : DEBUG        :         analytical solution: 5D / 175
00:00:00.194 : GREEN       : DEBUG        :         analytical solution: 5D / 175
00:00:00.199 : GREEN       : DEBUG        :         analytical solution: 5D / 175
00:00:00.203 : GREEN       : DEBUG        :         analytical solution: 5D / 175
00:00:00.208 : GREEN       : DEBUG        :         analytical solution: 5D / 175
00:00:00.214 : SOLVER      : INFO         :     system_tensor : exit : 00:00:00.041
00:00:00.214 : SOLVER      : INFO         :     problem_geometry : enter : timing
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: n_voxel_total = 175 / n_voxel_used = 55
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: n_face_total = 525 / n_face_used = 86
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: n_voxel_electric = 7 / n_voxel_magnetic = 48
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: n_face_electric = 6 / n_face_magnetic = 80
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: n_src_current = 1 / n_src_voltage = 1
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: ratio_voxel = 3.143e-01
00:00:00.219 : PROBLEM     : DEBUG        :         problem size: ratio_face = 1.638e-01
00:00:00.219 : SOLVER      : INFO         :     problem_geometry : exit : 00:00:00.005
00:00:00.219 : SOLVER      : INFO         :     system_matrix : enter : timing
00:00:00.220 : FFT         : DEBUG        :         enter FFT multiplication: inductance
00:00:00.220 : FFT         : DEBUG        :         tensor size: (5, 5, 7)
00:00:00.220 : FFT         : DEBUG        :         tensor footprint: 0.021 MB
00:00:00.220 : FFT         : DEBUG        :         FFT library: SciPy / GPU: False
00:00:00.223 : FFT         : DEBUG        :         exit FFT multiplication: inductance
00:00:00.223 : FFT         : DEBUG        :         enter FFT multiplication: potential
00:00:00.223 : FFT         : DEBUG        :         tensor size: (5, 5, 7)
00:00:00.223 : FFT         : DEBUG        :         tensor footprint: 0.021 MB
00:00:00.223 : FFT         : DEBUG        :         FFT library: SciPy / GPU: False
00:00:00.224 : FFT         : DEBUG        :         exit FFT multiplication: potential
00:00:00.227 : FFT         : DEBUG        :         enter FFT multiplication: coupling
00:00:00.227 : FFT         : DEBUG        :         tensor size: (5, 5, 7)
00:00:00.227 : FFT         : DEBUG        :         tensor footprint: 0.064 MB
00:00:00.227 : FFT         : DEBUG        :         FFT library: SciPy / GPU: False
00:00:00.228 : FFT         : DEBUG        :         exit FFT multiplication: coupling
00:00:00.228 : SOLVER      : INFO         :     system_matrix : exit : 00:00:00.009
00:00:00.229 : SOLVER      : INFO         : init : exit : 00:00:00.059
00:00:00.229 : SOLVER      : INFO         : run sweep: sim_dc : enter : timing
00:00:00.229 : SOLVER      : INFO         :     problem_value : enter : timing
