00:00:00.00 : pypeec   : info     : load the input data : start
00:00:00.10 : pypeec   : info     : load the input data : done
00:00:00.10 : pypeec   : info     : load the solver
00:00:01.07 : pypeec   : info     : run the solver
00:00:01.07 : pypeec   : info     : check the input data
00:00:01.08 : pypeec   : info     : combine the input data
00:00:01.08 : pypeec   : info     : init : enter : 00:00:00.00
00:00:01.09 : pypeec   : info     :     voxel_geometry : enter : 00:00:00.00
00:00:01.53 : pypeec   : info     :     voxel_geometry : exit : 00:00:00.44
00:00:01.53 : pypeec   : info     :     problem_geometry : enter : 00:00:00.00
00:00:01.67 : pypeec   : debug    :         n_voxel_total = 331056
00:00:01.67 : pypeec   : debug    :         n_voxel_used = 21215
00:00:01.67 : pypeec   : debug    :         n_face_total = 993168
00:00:01.67 : pypeec   : debug    :         n_face_used = 42062
00:00:01.67 : pypeec   : debug    :         n_voxel_electric = 21215
00:00:01.67 : pypeec   : debug    :         n_voxel_magnetic = 0
00:00:01.67 : pypeec   : debug    :         n_face_electric = 42062
00:00:01.67 : pypeec   : debug    :         n_face_magnetic = 0
00:00:01.67 : pypeec   : debug    :         n_src_current = 0
00:00:01.67 : pypeec   : debug    :         n_src_voltage = 722
00:00:01.67 : pypeec   : debug    :         ratio_voxel = 6.41e-02
00:00:01.67 : pypeec   : debug    :         ratio_face = 4.24e-02
00:00:01.67 : pypeec   : info     :     problem_geometry : exit : 00:00:00.15
00:00:01.67 : pypeec   : info     :     system_tensor : enter : 00:00:00.00
00:00:01.67 : pypeec   : debug    :         analytical / 6D / size = 1
00:00:01.74 : pypeec   : debug    :         analytical / 6D / size = 4624
00:00:02.17 : pypeec   : debug    :         numerical / 6D / size = 326432
00:00:02.21 : pypeec   : info     :     system_tensor : exit : 00:00:00.53
00:00:02.21 : pypeec   : info     :     system_matrix : enter : 00:00:00.00
00:00:02.21 : pypeec   : debug    :         inductance / operator = (42062 x 42062)
00:00:02.29 : pypeec   : debug    :         inductance / footprint = 40.41 MB
00:00:02.54 : pypeec   : debug    :         potential / operator = (0 x 0)
00:00:02.54 : pypeec   : debug    :         coupling / operator = (42062 x 0)
00:00:02.54 : pypeec   : debug    :         coupling / operator = (0 x 42062)
